customer_id,trans_date,tran_amount
CS5295,11/2/2013,35
CS4768,15/3/2015,39
CS2122,26/2/2013,52
CS1217,16/11/2011,99
CS1850,20/11/2013,78
CS5539,26/3/2014,81
CS2724,6/2/2012,93
CS5902,30/1/2015,89
CS6040,8/1/2013,76
CS3802,20/8/2013,75
CS3494,2/7/2013,94
CS3780,25/3/2013,80
CS1171,3/11/2012,59
CS2892,12/5/2013,43
CS5552,29/12/2014,78
CS6043,15/1/2014,98
CS4147,8/7/2013,81
CS4655,30/12/2013,93
CS3904,20/7/2014,103
CS4102,9/7/2011,96
CS2086,5/3/2013,75
CS6085,9/1/2013,49
CS1328,6/2/2013,54
CS4564,27/3/2012,48
CS5910,1/1/2012,98
CS2748,23/3/2013,37
CS5147,29/4/2013,72
CS1770,2/11/2012,83
CS3510,24/10/2011,81
CS2509,5/12/2011,105
CS2859,27/2/2015,77
CS1512,21/2/2015,71
CS4148,22/8/2013,48
CS1735,31/3/2012,70
CS1588,27/1/2012,70
CS5514,9/1/2013,36
CS5933,7/10/2013,48
CS2797,6/3/2014,87
CS5313,2/12/2012,88
CS5966,9/3/2012,39
CS5211,18/5/2014,51
CS1511,13/1/2015,47
CS6087,24/11/2014,37
CS5909,4/2/2012,80
CS2845,8/3/2013,105
CS1433,5/11/2012,78
CS4897,12/4/2014,45
CS2296,28/12/2012,79
CS1494,29/6/2013,59
CS3688,19/6/2014,55
CS2287,23/12/2011,94
CS3779,26/6/2011,69
CS1423,5/6/2014,78
CS2501,14/11/2012,59
CS3434,22/2/2013,98
CS2662,31/8/2014,88
CS2209,12/3/2012,35
CS4530,5/6/2011,40
CS2848,4/2/2013,53
CS2596,19/9/2011,55
CS4421,20/5/2012,86
CS4905,13/4/2012,93
CS5704,4/12/2011,79
CS2403,27/7/2014,94
CS5480,28/1/2012,63
CS5811,23/8/2013,91
CS2051,9/12/2014,101
CS3957,30/8/2012,69
CS4704,25/11/2014,41
CS2289,19/5/2012,67
CS5218,21/6/2014,45
CS4637,20/5/2011,71
CS3158,6/5/2012,91
CS4176,30/7/2012,49
CS1939,25/11/2011,101
CS5403,1/12/2011,64
CS5489,2/12/2014,77
CS4563,30/5/2011,101
CS3508,23/5/2012,67
CS2703,12/10/2014,40
CS2596,1/5/2013,76
CS5990,19/10/2012,103
CS4215,9/7/2011,54
CS4811,26/1/2012,77
CS2070,30/1/2013,41
CS3419,29/1/2015,38
CS3668,14/8/2014,102
CS4623,27/9/2013,89
CS4708,2/7/2013,48
CS1816,22/9/2013,64
CS5376,8/12/2013,44
CS4568,15/11/2011,70
CS1779,27/1/2012,53
CS2447,10/7/2011,82
CS1985,16/8/2011,87
CS2544,7/11/2011,64
CS2158,11/9/2012,89
CS5776,9/9/2014,87
CS5653,4/9/2013,98
CS2291,15/10/2014,67
CS6088,29/10/2012,48
CS4245,2/6/2014,102
CS3344,2/7/2014,56
CS1481,23/12/2013,50
