,CustomerName,Recency,Frequency,Monetary,R_rank_norm,F_rank_norm,M_rank_norm,RFM_Score,Customer_segment
0,CS1112,323,15,1012,41.17,28.31,28.31,1.51,Lost Customers
1,CS1113,92,20,1490,88.44,63.59,63.59,3.37,Medium Value Customer
2,CS1114,1,19,1432,98.83,56.47,56.47,3.14,Medium Value Customer
3,CS1115,214,22,1659,76.33,76.89,76.89,3.84,Medium Value Customer
4,CS1116,465,13,857,8.45,17.32,17.32,0.8,Lost Customers
5,CS1117,397,17,1185,18.78,41.88,41.88,1.92,Low Value Customers
6,CS1118,264,15,1011,69.16,28.31,28.31,1.72,Low Value Customers
7,CS1119,214,15,1158,76.33,28.31,28.31,1.78,Low Value Customers
8,CS1120,92,24,1677,88.44,86.57,86.57,4.34,High value Customer
9,CS1121,276,26,1524,66.37,93.1,93.1,4.45,High value Customer
10,CS1122,304,16,1156,51.83,34.8,34.8,1.87,Low Value Customers
11,CS1123,371,19,1331,25.71,56.47,56.47,2.59,Low Value Customers
12,CS1124,305,18,1127,51.16,49.21,49.21,2.48,Low Value Customers
13,CS1125,287,12,885,57.68,12.74,12.74,0.97,Lost Customers
14,CS1126,441,19,1165,11.14,56.47,56.47,2.48,Low Value Customers
15,CS1127,215,24,1676,75.29,86.57,86.57,4.24,High value Customer
16,CS1128,337,26,1921,38.69,93.1,93.1,4.25,High value Customer
17,CS1129,368,12,853,26.79,12.74,12.74,0.74,Lost Customers
18,CS1130,1,19,1185,98.83,56.47,56.47,3.14,Medium Value Customer
19,CS1131,282,14,998,61.61,22.55,22.55,1.42,Lost Customers
20,CS1132,289,16,1074,56.16,34.8,34.8,1.9,Low Value Customers
21,CS1133,285,19,1413,59.23,56.47,56.47,2.84,Low Value Customers
22,CS1134,371,16,1166,25.71,34.8,34.8,1.67,Low Value Customers
23,CS1135,581,20,1267,2.09,63.59,63.59,2.72,Low Value Customers
24,CS1136,289,20,1339,56.16,63.59,63.59,3.12,Medium Value Customer
25,CS1137,317,20,1380,43.79,63.59,63.59,3.03,Medium Value Customer
26,CS1138,62,24,1863,91.86,86.57,86.57,4.37,High value Customer
27,CS1139,373,18,1245,25.02,49.21,49.21,2.28,Low Value Customers
28,CS1140,290,20,1434,55.4,63.59,63.59,3.12,Medium Value Customer
29,CS1141,315,25,1778,44.88,90.27,90.27,4.17,High value Customer
30,CS1142,367,22,1847,27.16,76.89,76.89,3.47,Medium Value Customer
31,CS1143,367,16,1255,27.16,34.8,34.8,1.68,Low Value Customers
32,CS1144,388,18,1222,20.97,49.21,49.21,2.25,Low Value Customers
33,CS1145,404,27,1967,17.48,95.23,95.23,4.18,High value Customer
34,CS1146,91,16,1117,89.72,34.8,34.8,2.15,Low Value Customers
35,CS1147,0,15,1004,100.0,28.31,28.31,1.95,Low Value Customers
36,CS1148,345,25,1733,35.16,90.27,90.27,4.1,High value Customer
37,CS1149,334,25,1768,40.25,90.27,90.27,4.14,High value Customer
38,CS1150,351,14,1075,32.58,22.55,22.55,1.2,Lost Customers
39,CS1151,288,16,1040,56.91,34.8,34.8,1.91,Low Value Customers
40,CS1152,61,20,1457,93.04,63.59,63.59,3.4,Medium Value Customer
41,CS1153,62,18,1274,91.86,49.21,49.21,2.78,Low Value Customers
42,CS1154,123,23,1436,85.19,82.07,82.07,4.13,High value Customer
43,CS1155,418,19,1317,14.84,56.47,56.47,2.51,Low Value Customers
44,CS1156,153,20,1445,83.11,63.59,63.59,3.33,Medium Value Customer
45,CS1157,215,21,1427,75.29,70.65,70.65,3.57,Medium Value Customer
46,CS1158,435,18,1159,11.91,49.21,49.21,2.18,Low Value Customers
47,CS1159,123,22,1439,85.19,76.89,76.89,3.91,Medium Value Customer
48,CS1160,306,20,1380,50.43,63.59,63.59,3.08,Medium Value Customer
49,CS1161,0,22,1389,100.0,76.89,76.89,4.02,High value Customer
50,CS1162,281,24,1815,62.34,86.57,86.57,4.15,High value Customer
51,CS1163,184,18,1290,78.25,49.21,49.21,2.68,Low Value Customers
52,CS1164,279,26,2037,64.07,93.1,93.1,4.44,High value Customer
53,CS1165,356,20,1335,30.75,63.59,63.59,2.93,Low Value Customers
54,CS1166,435,19,1507,11.91,56.47,56.47,2.49,Low Value Customers
55,CS1167,381,16,1132,22.75,34.8,34.8,1.65,Low Value Customers
56,CS1168,373,14,916,25.02,22.55,22.55,1.15,Lost Customers
57,CS1169,348,18,1175,33.74,49.21,49.21,2.34,Low Value Customers
58,CS1170,265,18,1272,68.33,49.21,49.21,2.6,Low Value Customers
59,CS1171,263,22,1555,70.02,76.89,76.89,3.79,Medium Value Customer
60,CS1172,426,18,1306,13.49,49.21,49.21,2.19,Low Value Customers
61,CS1173,32,21,1429,94.33,70.65,70.65,3.71,Medium Value Customer
62,CS1174,285,23,1554,59.23,82.07,82.07,3.93,Medium Value Customer
63,CS1175,314,17,1106,45.49,41.88,41.88,2.12,Low Value Customers
64,CS1176,32,18,1401,94.33,49.21,49.21,2.8,Low Value Customers
65,CS1177,184,17,1310,78.25,41.88,41.88,2.37,Low Value Customers
66,CS1178,293,22,1535,53.28,76.89,76.89,3.67,Medium Value Customer
67,CS1179,308,29,2091,49.05,98.05,98.05,4.53,Top Customers
68,CS1180,316,23,1637,44.33,82.07,82.07,3.82,Medium Value Customer
69,CS1181,319,27,1893,42.71,95.23,95.23,4.37,High value Customer
70,CS1182,489,24,1749,6.04,86.57,86.57,3.72,Medium Value Customer
71,CS1183,1,26,1967,98.83,93.1,93.1,4.7,Top Customers
72,CS1184,61,28,1999,93.04,96.85,96.85,4.81,Top Customers
73,CS1185,214,27,1801,76.33,95.23,95.23,4.62,Top Customers
74,CS1186,314,19,1439,45.49,56.47,56.47,2.74,Low Value Customers
75,CS1187,284,22,1559,59.96,76.89,76.89,3.72,Medium Value Customer
76,CS1188,0,16,1010,100.0,34.8,34.8,2.23,Low Value Customers
77,CS1189,2,23,1564,97.69,82.07,82.07,4.22,High value Customer
78,CS1190,245,18,1324,72.57,49.21,49.21,2.64,Low Value Customers
79,CS1191,93,21,1522,87.23,70.65,70.65,3.66,Medium Value Customer
80,CS1192,184,18,1313,78.25,49.21,49.21,2.68,Low Value Customers
81,CS1193,516,15,953,4.32,28.31,28.31,1.24,Lost Customers
82,CS1194,153,22,1505,83.11,76.89,76.89,3.89,Medium Value Customer
83,CS1195,282,20,1378,61.61,63.59,63.59,3.16,Medium Value Customer
84,CS1196,30,23,1559,96.56,82.07,82.07,4.21,High value Customer
85,CS1197,362,17,1180,28.72,41.88,41.88,2.0,Low Value Customers
86,CS1198,214,22,1571,76.33,76.89,76.89,3.84,Medium Value Customer
87,CS1199,357,20,1344,30.43,63.59,63.59,2.93,Low Value Customers
88,CS1200,432,21,1667,12.35,70.65,70.65,3.1,Medium Value Customer
89,CS1201,314,19,1375,45.49,56.47,56.47,2.74,Low Value Customers
90,CS1202,155,20,1331,80.68,63.59,63.59,3.31,Medium Value Customer
91,CS1203,310,21,1536,47.85,70.65,70.65,3.36,Medium Value Customer
92,CS1204,309,17,1023,48.5,41.88,41.88,2.14,Low Value Customers
93,CS1205,124,17,1103,84.19,41.88,41.88,2.41,Low Value Customers
94,CS1206,390,24,1514,20.52,86.57,86.57,3.83,Medium Value Customer
95,CS1207,215,18,1310,75.29,49.21,49.21,2.66,Low Value Customers
96,CS1208,92,15,1000,88.44,28.31,28.31,1.87,Low Value Customers
97,CS1209,30,27,1809,96.56,95.23,95.23,4.77,Top Customers
98,CS1210,478,21,1546,7.01,70.65,70.65,3.06,Medium Value Customer
99,CS1211,319,18,1218,42.71,49.21,49.21,2.41,Low Value Customers
100,CS1212,449,17,1200,10.07,41.88,41.88,1.86,Low Value Customers
101,CS1213,359,18,1191,29.72,49.21,49.21,2.31,Low Value Customers
102,CS1214,91,19,1289,89.72,56.47,56.47,3.07,Medium Value Customer
103,CS1215,423,35,2362,13.97,99.93,99.93,4.35,High value Customer
104,CS1216,358,24,1798,30.04,86.57,86.57,3.9,Medium Value Customer
